Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P00330|ADH1_YEAST	P00330	ADH1_YEAST	ADH1	348	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Alcohol dehydrogenase 1	1:Experimental evidence at protein level	41.38	1.0000	0.9990	0.00000000000000	15	8	15	258	123	258	7.6769116E9	6.7053036E9	7.6769116E9	1C(57.0215),2C(57.0215),5C(57.0215),5C(57.0215),5C(57.0215),5C(57.0215),5C(57.0215),N-term(42.0106)		
sp|P00358|G3P2_YEAST	P00358	G3P2_YEAST	TDH2	332	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Glyceraldehyde-3-phosphate dehydrogenase 2	1:Experimental evidence at protein level	65.06	1.0000	0.9990	0.00000000000000	19	3	19	356	52	356	2.10244465E10	2.00652941E9	2.10244465E10	11C(57.0215),7C(57.0215),12M(15.9949),12M(15.9949),15M(15.9949),15M(15.9949)		
sp|P00359|G3P3_YEAST	P00359	G3P3_YEAST	TDH3	332	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Glyceraldehyde-3-phosphate dehydrogenase 3	1:Experimental evidence at protein level	66.57	1.0000	0.9990	0.00000000000000	20	4	5	348	29	47	2.10244465E10	6.6483853E8	4.4177812E9	13M(15.9949),21M(15.9949),26M(15.9949)		
sp|P00360|G3P1_YEAST	P00360	G3P1_YEAST	TDH1	332	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Glyceraldehyde-3-phosphate dehydrogenase 1	1:Experimental evidence at protein level	64.46	1.0000	0.9990	0.00000000000000	18	8	8	256	85	85	1.61967063E10	2.33397504E9	2.33397504E9	12M(15.9949)		
sp|P00431|CCPR_YEAST	P00431	CCPR_YEAST	CCP1	361	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Cytochrome c peroxidase, mitochondrial	1:Experimental evidence at protein level	6.65	1.0000	0.9990	0.00000000000000	5	5	5	4	4	4	2.0053952E7	2.0053952E7	2.0053952E7			
sp|P00445|SODC_YEAST	P00445	SODC_YEAST	SOD1	154	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Superoxide dismutase [Cu-Zn]	1:Experimental evidence at protein level	83.12	1.0000	0.9990	0.00000000000000	10	10	10	62	62	62	1.13263181E9	1.13263181E9	1.13263181E9	14C(57.0215),3C(57.0215)		
sp|P00447|SODM_YEAST	P00447	SODM_YEAST	SOD2	233	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Superoxide dismutase [Mn], mitochondrial	1:Experimental evidence at protein level	40.34	1.0000	0.9990	0.00000000000000	7	7	7	11	11	11	5.243684E7	5.243684E7	5.243684E7	10C(57.0215)		
sp|P00498|HIS1_YEAST	P00498	HIS1_YEAST	HIS1	297	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	ATP phosphoribosyltransferase	1:Experimental evidence at protein level	27.61	1.0000	0.9990	0.00000000000000	9	9	9	13	13	13	8.48452E7	8.48452E7	8.48452E7	1C(57.0215),4C(57.0215),N-term(42.0106)		
sp|P00546|CDK1_YEAST	P00546	CDK1_YEAST	CDC28	298	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Cyclin-dependent kinase 1	1:Experimental evidence at protein level	10.07	1.0000	0.9990	0.00000000000000	4	2	2	4	1	1	4.5219292E7	8914551.0	8914551.0			
sp|P00549|KPYK1_YEAST	P00549	KPYK1_YEAST	CDC19	500	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Pyruvate kinase 1	1:Experimental evidence at protein level	67.00	1.0000	0.9990	0.00000000000000	27	25	27	378	325	378	7.1056563E9	7.1056563E9	7.1056563E9	10C(57.0215),10C(57.0215),10C(57.0215),14M(15.9949),12M(15.9949),4C(57.0215),16C(57.0215),16C(57.0215),16C(57.0215),16C(57.0215),16C(57.0215),18M(15.9949),16C(57.0215),18M(15.9949),18M(15.9949),1M(15.9949),2C(57.0215),2M(15.9949),4C(57.0215),5C(57.0215),5C(57.0215),5C(57.0215),5C(57.0215),6M(15.9949)		
sp|P00560|PGK_YEAST	P00560	PGK_YEAST	PGK1	416	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Phosphoglycerate kinase	1:Experimental evidence at protein level	61.78	1.0000	0.9990	0.00000000000000	26	26	26	371	371	371	6.1316833E9	6.1316833E9	6.1316833E9	5M(15.9949),5M(15.9949),8C(57.0215),8C(57.0215)		
sp|P00724|INV2_YEAST	P00724	INV2_YEAST	SUC2	532	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Invertase 2	1:Experimental evidence at protein level	3.20	1.0000	0.9990	0.00000000000000	3	3	3	2	2	2	2.9343544E7	2.9343544E7	2.9343544E7			
sp|P00729|CBPY_YEAST	P00729	CBPY_YEAST	PRC1	532	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Carboxypeptidase Y	1:Experimental evidence at protein level	20.11	1.0000	0.9990	0.00000000000000	7	7	7	30	30	30	7.9119896E7	7.9119896E7	7.9119896E7	13C(57.0215),4C(57.0215)		
sp|P00812|ARGI_YEAST	P00812	ARGI_YEAST	CAR1	333	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Arginase	1:Experimental evidence at protein level	13.51	1.0000	0.9990	0.00000000000000	7	7	7	6	6	6	3.2734108E7	3.2734108E7	3.2734108E7	N-term(42.0106)		
sp|P00815|HIS2_YEAST	P00815	HIS2_YEAST	HIS4	799	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Histidine biosynthesis trifunctional protein	1:Experimental evidence at protein level	34.92	1.0000	0.9990	0.00000000000000	22	22	22	50	50	50	1.54294176E8	1.54294176E8	1.54294176E8	18C(57.0215),21C(57.0215),4C(57.0215),8C(57.0215)		
sp|P00817|IPYR_YEAST	P00817	IPYR_YEAST	IPP1	287	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Inorganic pyrophosphatase	1:Experimental evidence at protein level	34.15	1.0000	0.9990	0.00000000000000	11	10	11	54	53	54	6.4308826E8	6.4308826E8	6.4308826E8			
sp|P00830|ATPB_YEAST	P00830	ATPB_YEAST	ATP2	511	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	ATP synthase subunit beta, mitochondrial	1:Experimental evidence at protein level	37.77	1.0000	0.9990	0.00000000000000	14	14	14	36	36	36	2.23526624E8	2.23526624E8	2.23526624E8			
sp|P00890|CISY1_YEAST	P00890	CISY1_YEAST	CIT1	479	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Citrate synthase, mitochondrial	1:Experimental evidence at protein level	40.29	1.0000	0.9990	0.00000000000000	19	19	19	37	37	37	1.10888864E8	1.10888864E8	1.10888864E8	N-term(42.0106)		
sp|P00899|TRPE_YEAST	P00899	TRPE_YEAST	TRP2	507	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Anthranilate synthase component 1	1:Experimental evidence at protein level	19.13	1.0000	0.9990	0.00000000000000	10	10	10	11	11	11	3.9748172E7	3.9748172E7	3.9748172E7	2C(57.0215),5C(57.0215)		
sp|P00924|ENO1_YEAST	P00924	ENO1_YEAST	ENO1	437	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Enolase 1	1:Experimental evidence at protein level	59.73	1.0000	0.9990	0.00000000000000	21	10	10	348	147	147	1.23900723E10	3.3574889E9	3.3574889E9	15M(15.9949)		
sp|P00925|ENO2_YEAST	P00925	ENO2_YEAST	ENO2	437	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Enolase 2	1:Experimental evidence at protein level	64.99	1.0000	0.9990	0.00000000000000	23	12	23	402	201	402	1.23900723E10	3.96445107E9	1.23900723E10	10M(15.9949),10M(15.9949),10M(15.9949),15M(15.9949),11M(15.9949),11M(15.9949),15M(15.9949),17M(15.9949),3M(15.9949),5C(57.0215),6M(15.9949)		
sp|P00927|THDH_YEAST	P00927	THDH_YEAST	ILV1	576	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Threonine dehydratase, mitochondrial	1:Experimental evidence at protein level	7.64	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	1.3406026E7	1.3406026E7	1.3406026E7			
sp|P00931|TRP_YEAST	P00931	TRP_YEAST	TRP5	707	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Tryptophan synthase	1:Experimental evidence at protein level	44.13	1.0000	0.9990	0.00000000000000	25	25	25	46	46	46	1.45332016E8	1.45332016E8	1.45332016E8	16C(57.0215),16C(57.0215),19C(57.0215),22C(57.0215),5C(57.0215),5C(57.0215),8C(57.0215),8C(57.0215)		
sp|P00937|TRPG_YEAST	P00937	TRPG_YEAST	TRP3	484	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Multifunctional tryptophan biosynthesis protein	1:Experimental evidence at protein level	20.25	1.0000	0.9990	0.00000000000000	11	11	11	12	12	12	3.377202E7	3.377202E7	3.377202E7	14C(57.0215),4C(57.0215),N-term(42.0106)		
sp|P00942|TPIS_YEAST	P00942	TPIS_YEAST	TPI1	248	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Triosephosphate isomerase	1:Experimental evidence at protein level	45.16	1.0000	0.9990	0.00000000000000	10	10	10	102	102	102	2.14229824E9	2.14229824E9	2.14229824E9			
sp|P00950|PMG1_YEAST	P00950	PMG1_YEAST	GPM1	247	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Phosphoglycerate mutase 1	1:Experimental evidence at protein level	68.83	1.0000	0.9990	0.00000000000000	14	14	14	131	131	131	5.2869847E9	5.2869847E9	5.2869847E9			
sp|P00958|SYMC_YEAST	P00958	SYMC_YEAST	MES1	751	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Methionine--tRNA ligase, cytoplasmic	1:Experimental evidence at protein level	35.29	1.0000	0.9990	0.00000000000000	22	22	22	32	32	32	7.3295488E7	7.3295488E7	7.3295488E7	6C(57.0215)		
sp|P01120|RAS2_YEAST	P01120	RAS2_YEAST	RAS2	322	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Ras-like protein 2	1:Experimental evidence at protein level	45.65	1.0000	0.9990	0.00000000000000	12	11	12	15	12	15	9.0735808E7	6.3828648E7	9.0735808E7			
sp|P01123|YPT1_YEAST	P01123	YPT1_YEAST	YPT1	206	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	GTP-binding protein YPT1	1:Experimental evidence at protein level	27.18	1.0000	0.9990	0.00000000000000	6	5	5	11	7	7	1.30631784E8	1.11722704E8	1.11722704E8	N-term(42.0106)		
sp|P02293|H2B1_YEAST	P02293	H2B1_YEAST	HTB1	131	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Histone H2B.1	1:Experimental evidence at protein level	22.14	1.0000	0.9990	0.00000000000000	3	0	3	21	0	21	6.8501043E8	0	6.8501043E8			sp|P02294|H2B2_YEAST
sp|P02309|H4_YEAST	P02309	H4_YEAST	HHF1	103	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Histone H4	1:Experimental evidence at protein level	50.49	1.0000	0.9990	0.00000000000000	6	6	6	27	27	27	5.145152E8	5.145152E8	5.145152E8			
sp|P02400|RLA4_YEAST	P02400	RLA4_YEAST	RPP2B	110	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S acidic ribosomal protein P2-beta	1:Experimental evidence at protein level	85.45	1.0000	0.9990	0.00000000000000	5	5	5	27	27	27	8.410391E8	8.410391E8	8.410391E8			
sp|P02406|RL28_YEAST	P02406	RL28_YEAST	RPL28	149	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S ribosomal protein L28	1:Experimental evidence at protein level	51.68	1.0000	0.9990	0.00000000000000	8	8	8	20	20	20	5.18147776E8	5.18147776E8	5.18147776E8	2M(15.9949),2M(15.9949)		
sp|P02407|RS17A_YEAST	P02407	RS17A_YEAST	RPS17A	136	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	40S ribosomal protein S17-A	1:Experimental evidence at protein level	42.65	1.0000	0.9990	0.00000000000000	6	0	6	35	0	35	1.07309274E9	0	1.07309274E9	2C(57.0215)		sp|P14127|RS17B_YEAST
sp|P02557|TBB_YEAST	P02557	TBB_YEAST	TUB2	457	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Tubulin beta chain	1:Experimental evidence at protein level	18.60	1.0000	0.9990	0.00000000000000	8	8	8	15	15	15	7.7456496E7	7.7456496E7	7.7456496E7	5C(57.0215)		
sp|P02829|HSP82_YEAST	P02829	HSP82_YEAST	HSP82	709	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	ATP-dependent molecular chaperone HSP82	1:Experimental evidence at protein level	40.34	1.0000	0.9990	0.00000000000000	32	5	5	171	14	14	1.64393088E9	2.4557568E8	2.4557568E8			
sp|P02992|EFTU_YEAST	P02992	EFTU_YEAST	TUF1	437	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Elongation factor Tu, mitochondrial	1:Experimental evidence at protein level	21.97	1.0000	0.9990	0.00000000000000	7	7	7	11	11	11	5.782056E7	5.782056E7	5.782056E7	19C(57.0215)		
sp|P02994|EF1A_YEAST	P02994	EF1A_YEAST	TEF1	458	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Elongation factor 1-alpha	1:Experimental evidence at protein level	41.92	1.0000	0.9990	0.00000000000000	21	21	21	306	306	306	7.863806E9	7.863806E9	7.863806E9	15M(15.9949),3C(57.0215),4C(57.0215),4M(15.9949),4M(15.9949),5C(57.0215),7M(15.9949),8C(57.0215),8C(57.0215),8C(57.0215),8C(57.0215)		
sp|P03965|CARB_YEAST	P03965	CARB_YEAST	CPA2	1118	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Carbamoyl-phosphate synthase arginine-specific large chain	1:Experimental evidence at protein level	18.60	1.0000	0.9990	0.00000000000000	20	18	18	22	18	18	1.7261288E8	9.816936E7	9.816936E7	16C(57.0215),4C(57.0215),8C(57.0215)		
sp|P04046|PUR1_YEAST	P04046	PUR1_YEAST	ADE4	510	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Amidophosphoribosyltransferase	1:Experimental evidence at protein level	23.73	1.0000	0.9990	0.00000000000000	13	13	13	17	17	17	9.2986608E7	9.2986608E7	9.2986608E7	10C(57.0215),11C(57.0215),12C(57.0215),13C(57.0215),2C(57.0215),6C(57.0215)		
sp|P04050|RPB1_YEAST	P04050	RPB1_YEAST	RPO21	1733	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	DNA-directed RNA polymerase II subunit RPB1	1:Experimental evidence at protein level	12.87	1.0000	0.9990	0.00000000000000	22	22	22	23	23	23	4.2485184E7	4.2485184E7	4.2485184E7	11C(57.0215),1C(57.0215),4C(57.0215),3C(57.0215),5C(57.0215),7C(57.0215),8C(57.0215)		
sp|P04076|ARLY_YEAST	P04076	ARLY_YEAST	ARG4	463	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Argininosuccinate lyase	1:Experimental evidence at protein level	28.29	1.0000	0.9990	0.00000000000000	12	12	12	13	13	13	6.9504728E7	6.9504728E7	6.9504728E7			
sp|P04147|PABP_YEAST	P04147	PABP_YEAST	PAB1	577	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Polyadenylate-binding protein, cytoplasmic and nuclear	1:Experimental evidence at protein level	40.55	1.0000	0.9990	0.00000000000000	21	21	21	49	49	49	2.28073504E8	2.28073504E8	2.28073504E8			
sp|P04161|PUR3_YEAST	P04161	PUR3_YEAST	ADE8	214	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Phosphoribosylglycinamide formyltransferase	1:Experimental evidence at protein level	11.68	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	1.8915238E7	1.8915238E7	1.8915238E7			
sp|P04449|RL24A_YEAST	P04449	RL24A_YEAST	RPL24A	155	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S ribosomal protein L24-A	1:Experimental evidence at protein level	30.97	1.0000	0.9990	0.00000000000000	7	1	7	39	4	39	4.23686912E8	1.07901168E8	4.23686912E8			
sp|P04456|RL25_YEAST	P04456	RL25_YEAST	RPL25	142	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S ribosomal protein L25	1:Experimental evidence at protein level	37.32	1.0000	0.9990	0.00000000000000	5	5	5	43	43	43	1.13723955E9	1.13723955E9	1.13723955E9			
sp|P04650|RL39_YEAST	P04650	RL39_YEAST	RPL39	51	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S ribosomal protein L39	1:Experimental evidence at protein level	19.61	1.0000	0.9990	0.00000000000000	2	2	2	13	13	13	3.27393664E8	3.27393664E8	3.27393664E8			
sp|P04801|SYTC_YEAST	P04801	SYTC_YEAST	THS1	734	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Threonine--tRNA ligase, cytoplasmic	1:Experimental evidence at protein level	36.24	1.0000	0.9990	0.00000000000000	23	23	23	49	49	49	1.2879244E8	1.2879244E8	1.2879244E8	15C(57.0215),5C(57.0215),5C(57.0215)		
sp|P04802|SYDC_YEAST	P04802	SYDC_YEAST	DPS1	557	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Aspartate--tRNA ligase, cytoplasmic	1:Experimental evidence at protein level	49.01	1.0000	0.9990	0.00000000000000	25	25	25	64	64	64	2.76099488E8	2.76099488E8	2.76099488E8	10C(57.0215),3C(57.0215),6C(57.0215),N-term(42.0106)		
sp|P04806|HXKA_YEAST	P04806	HXKA_YEAST	HXK1	485	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Hexokinase-1	1:Experimental evidence at protein level	50.52	1.0000	0.9990	0.00000000000000	19	17	17	97	78	78	1.39162816E9	8.6317126E8	8.6317126E8	11M(15.9949),15C(57.0215),15C(57.0215),15C(57.0215),15C(57.0215),2C(57.0215)		
sp|P04807|HXKB_YEAST	P04807	HXKB_YEAST	HXK2	486	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Hexokinase-2	1:Experimental evidence at protein level	50.00	1.0000	0.9990	0.00000000000000	22	20	22	103	84	103	1.34550502E9	7.6295341E8	1.34550502E9	11M(15.9949),15C(57.0215),15C(57.0215),15C(57.0215),15C(57.0215),17C(57.0215),17C(57.0215),3M(15.9949)		
sp|P04840|VDAC1_YEAST	P04840	VDAC1_YEAST	POR1	283	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Mitochondrial outer membrane protein porin 1	1:Experimental evidence at protein level	53.00	1.0000	0.9990	0.00000000000000	12	12	12	62	62	62	6.8739994E8	6.8739994E8	6.8739994E8	6C(57.0215)		
sp|P04911|H2A1_YEAST	P04911	H2A1_YEAST	HTA1	132	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Histone H2A.1	1:Experimental evidence at protein level	34.85	1.0000	0.9990	0.00000000000000	4	0	4	29	0	29	4.32157792E8	0	4.32157792E8			sp|P04912|H2A2_YEAST
sp|P05030|PMA1_YEAST	P05030	PMA1_YEAST	PMA1	918	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Plasma membrane ATPase 1	1:Experimental evidence at protein level	39.87	1.0000	0.9990	0.00000000000000	27	10	27	115	48	115	1.24716493E9	7.4859776E8	1.24716493E9	13C(57.0215),13C(57.0215),13C(57.0215),14C(57.0215),14C(57.0215),14C(57.0215),14C(57.0215),14C(57.0215),14C(57.0215),22C(57.0215),6C(57.0215),6C(57.0215),6M(15.9949),9M(15.9949)		
sp|P05317|RLA0_YEAST	P05317	RLA0_YEAST	RPP0	312	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S acidic ribosomal protein P0	1:Experimental evidence at protein level	38.46	1.0000	0.9990	0.00000000000000	12	12	12	47	47	47	6.8238714E8	6.8238714E8	6.8238714E8	5M(15.9949)		
sp|P05318|RLA1_YEAST	P05318	RLA1_YEAST	RPP1A	106	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S acidic ribosomal protein P1-alpha	1:Experimental evidence at protein level	28.30	1.0000	0.9990	0.00000000000000	2	2	2	7	7	7	2.16581456E8	2.16581456E8	2.16581456E8			
sp|P05319|RLA2_YEAST	P05319	RLA2_YEAST	RPP2A	106	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S acidic ribosomal protein P2-alpha	1:Experimental evidence at protein level	66.04	1.0000	0.9990	0.00000000000000	4	4	4	18	18	18	7.4724179E8	7.4724179E8	7.4724179E8			
sp|P05373|HEM2_YEAST	P05373	HEM2_YEAST	HEM2	342	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Delta-aminolevulinic acid dehydratase	1:Experimental evidence at protein level	18.42	1.0000	0.9990	0.00000000000000	6	6	6	8	8	8	3.1325436E7	3.1325436E7	3.1325436E7			
sp|P05374|CHO2_YEAST	P05374	CHO2_YEAST	CHO2	869	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Phosphatidylethanolamine N-methyltransferase	1:Experimental evidence at protein level	4.60	1.0000	0.9990	0.00000000000000	5	5	5	7	7	7	1.3371405E7	1.3371405E7	1.3371405E7	5C(57.0215)		
sp|P05453|ERF3_YEAST	P05453	ERF3_YEAST	SUP35	685	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Eukaryotic peptide chain release factor GTP-binding subunit	1:Experimental evidence at protein level	21.75	1.0000	0.9990	0.00000000000000	15	15	15	17	17	17	5.7515376E7	5.7515376E7	5.7515376E7	12C(57.0215),2C(57.0215)		
sp|P05694|METE_YEAST	P05694	METE_YEAST	MET6	767	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	1:Experimental evidence at protein level	47.98	1.0000	0.9990	0.00000000000000	34	34	34	77	77	77	2.4159088E8	2.4159088E8	2.4159088E8	7C(57.0215),8C(57.0215)		
sp|P05737|RL7A_YEAST	P05737	RL7A_YEAST	RPL7A	244	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S ribosomal protein L7-A	1:Experimental evidence at protein level	47.95	1.0000	0.9990	0.00000000000000	11	1	11	54	8	54	1.04674586E9	2.55554352E8	1.04674586E9			
sp|P05738|RL9A_YEAST	P05738	RL9A_YEAST	RPL9A	191	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S ribosomal protein L9-A	1:Experimental evidence at protein level	50.26	1.0000	0.9990	0.00000000000000	7	1	7	36	2	36	6.9050189E8	8824284.0	6.9050189E8	24C(57.0215),6M(15.9949)		
sp|P05739|RL6B_YEAST	P05739	RL6B_YEAST	RPL6B	176	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S ribosomal protein L6-B	1:Experimental evidence at protein level	43.75	1.0000	0.9990	0.00000000000000	8	4	8	51	28	51	5.8415501E8	3.20271264E8	5.8415501E8			
sp|P05740|RL17A_YEAST	P05740	RL17A_YEAST	RPL17A	184	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S ribosomal protein L17-A	1:Experimental evidence at protein level	41.85	1.0000	0.9990	0.00000000000000	6	1	6	36	7	36	9.563703E8	4.187736E8	9.563703E8			
sp|P05743|RL26A_YEAST	P05743	RL26A_YEAST	RPL26A	127	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S ribosomal protein L26-A	1:Experimental evidence at protein level	46.46	1.0000	0.9990	0.00000000000000	9	1	1	42	1	1	8.8160506E8	5.8913692E7	5.8913692E7			
