Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	yeast1 Spectral Count	yeast2 Spectral Count	yeast3 Spectral Count	yeast1 Unique Spectral Count	yeast2 Unique Spectral Count	yeast3 Unique Spectral Count	yeast1 Total Spectral Count	yeast2 Total Spectral Count	yeast3 Total Spectral Count	yeast1 Intensity	yeast2 Intensity	yeast3 Intensity	yeast1 MaxLFQ Intensity	yeast2 MaxLFQ Intensity	yeast3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P00330|ADH1_YEAST	P00330	ADH1_YEAST	ADH1	348	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Alcohol dehydrogenase 1	1.0	0.999	15	743	351	743	258	249	236	123	121	107	258	249	236	1.83953408E10	1.55401206E10	1.79791974E10	2.81273011E9	2.60345318E9	2.78058317E9	
sp|P00358|G3P2_YEAST	P00358	G3P2_YEAST	TDH2	332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase 2	1.0	0.999	19	947	148	947	356	316	275	52	51	45	356	316	275	3.626265E10	3.5431223E10	3.6509876E10	7.7682365E9	7.9331507E9	8.0503352E9	
sp|P00359|G3P3_YEAST	P00359	G3P3_YEAST	TDH3	332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase 3	1.0	0.999	20	135	87	926	47	50	38	29	32	26	348	312	266	4.7202447E9	5.628225E9	6.0755574E9	3.09675366E9	4.9665198E9	5.1495368E9	
sp|P00360|G3P1_YEAST	P00360	G3P1_YEAST	TDH1	332	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase 1	1.0	0.999	19	254	254	712	85	84	85	85	84	85	256	243	213	3.90365235E9	3.80986035E9	4.02670592E9	8.7992237E8	8.9051046E8	9.5720794E8	
sp|P00425|COX5B_YEAST	P00425	COX5B_YEAST	COX5B	151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 5B, mitochondrial	0.9432	0.9982	1	2	2	2	0	1	1	0	1	1	0	1	1	5742183.5	5820290.0	6668053.0	5742183.5	5820290.0	6668053.0	
sp|P00427|COX6_YEAST	P00427	COX6_YEAST	COX6	148	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 6, mitochondrial	0.9999	0.999	2	6	6	6	3	1	2	3	1	2	3	1	2	1.0964978E7	9767967.0	1.1749331E7	6323287.0	5380038.0	6733156.5	
sp|P00431|CCPR_YEAST	P00431	CCPR_YEAST	CCP1	361	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome c peroxidase, mitochondrial	1.0	0.999	5	14	14	14	4	4	6	4	4	6	4	4	6	2.52157E7	1.4329797E7	2.3825796E7	8347922.5	8283710.5	6996479.5	
sp|P00445|SODC_YEAST	P00445	SODC_YEAST	SOD1	154	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Superoxide dismutase [Cu-Zn]	1.0	0.999	10	201	201	201	62	67	72	62	67	72	62	67	72	1.71546266E9	1.70620838E9	1.75505741E9	3.75825408E8	3.94369248E8	4.12962048E8	
sp|P00447|SODM_YEAST	P00447	SODM_YEAST	SOD2	233	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Superoxide dismutase [Mn], mitochondrial	1.0	0.999	7	35	35	35	11	11	13	11	11	13	11	11	13	8.1393976E7	8.6552504E7	8.8015728E7	1.98166E7	2.1120114E7	2.0980794E7	
sp|P00498|HIS1_YEAST	P00498	HIS1_YEAST	HIS1	297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ATP phosphoribosyltransferase	1.0	0.999	9	38	38	38	13	13	12	13	13	12	13	13	12	1.85645584E8	1.62665968E8	1.73355104E8	3.5372236E7	2.7988096E7	3.1597448E7	
sp|P00546|CDK1_YEAST	P00546	CDK1_YEAST	CDC28	298	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cyclin-dependent kinase 1	1.0	0.999	4	2	2	9	1	0	1	1	0	1	4	3	2	8914551.0	5952292.0	3633823.8	4415188.0	3196415.8	4316426.0	
sp|P00549|KPYK1_YEAST	P00549	KPYK1_YEAST	CDC19	500	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Pyruvate kinase 1	1.0	0.999	28	1070	933	1070	378	365	327	325	316	292	378	365	327	2.13895864E10	2.35654615E10	2.34967286E10	2.62591155E9	3.11095142E9	3.29320141E9	
sp|P00560|PGK_YEAST	P00560	PGK_YEAST	PGK1	416	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Phosphoglycerate kinase	1.0	0.999	26	1093	1093	1093	371	374	348	371	374	348	371	374	348	1.9305857E10	1.94465137E10	2.05130875E10	2.37714022E9	2.41307034E9	2.56642944E9	
sp|P00724|INV2_YEAST	P00724	INV2_YEAST	SUC2	532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Invertase 2	1.0	0.999	3	8	8	8	2	3	3	2	3	3	2	3	3	2.9343544E7	2.7155764E7	3.1714942E7	1.0583094E7	9764700.0	1.1349614E7	
sp|P00729|CBPY_YEAST	P00729	CBPY_YEAST	PRC1	532	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Carboxypeptidase Y	1.0	0.999	7	94	94	94	30	32	32	30	32	32	30	32	32	1.56598592E8	2.5072064E8	2.4874816E8	3.006084E7	4.7506572E7	4.6170456E7	
sp|P00812|ARGI_YEAST	P00812	ARGI_YEAST	CAR1	333	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Arginase	1.0	0.999	7	17	17	17	6	7	4	6	7	4	6	7	4	6.1179344E7	6.2868016E7	5.33134E7	1.2521662E7	1.222044E7	1.3407594E7	
sp|P00815|HIS2_YEAST	P00815	HIS2_YEAST	HIS4	799	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Histidine biosynthesis trifunctional protein	1.0	0.999	25	163	163	163	50	59	54	50	59	54	50	59	54	5.4472576E8	6.2515091E8	6.3149261E8	5.5336844E7	5.264092E7	5.7704572E7	
sp|P00817|IPYR_YEAST	P00817	IPYR_YEAST	IPP1	287	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Inorganic pyrophosphatase	1.0	0.999	11	168	165	168	54	57	57	53	56	56	54	57	57	1.0715744E9	1.02589728E9	9.6211987E8	2.26898832E8	2.38408672E8	2.07791792E8	
sp|P00830|ATPB_YEAST	P00830	ATPB_YEAST	ATP2	511	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ATP synthase subunit beta, mitochondrial	1.0	0.999	16	115	115	115	36	41	38	36	41	38	36	41	38	4.6717872E8	4.59366656E8	5.26119712E8	9.1799736E7	9.4278952E7	1.03563664E8	
sp|P00890|CISY1_YEAST	P00890	CISY1_YEAST	CIT1	479	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Citrate synthase, mitochondrial	1.0	0.999	19	108	108	108	37	37	34	37	37	34	37	37	34	3.38405952E8	3.4096064E8	3.73226336E8	4.0700632E7	4.4626488E7	4.5876408E7	
sp|P00899|TRPE_YEAST	P00899	TRPE_YEAST	TRP2	507	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Anthranilate synthase component 1	1.0	0.999	10	27	27	27	11	8	8	11	8	8	11	8	8	8.8971648E7	7.570112E7	8.021764E7	1.6918536E7	1.4497926E7	1.693096E7	
sp|P00912|TRPF_YEAST	P00912	TRPF_YEAST	TRP1	224	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	N-(5'-phosphoribosyl)anthranilate isomerase	0.7405	0.9897	1	3	3	3	1	1	1	1	1	1	1	1	1	3095354.8	1979589.5	2435606.0	3095354.8	1979589.5	2435606.0	
sp|P00924|ENO1_YEAST	P00924	ENO1_YEAST	ENO1	437	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Enolase 1	1.0	0.999	21	473	473	1029	147	165	161	147	165	161	348	353	328	4.759425E9	4.7442934E9	5.0624968E9	1.46200576E9	1.62990106E9	1.78120077E9	
sp|P00925|ENO2_YEAST	P00925	ENO2_YEAST	ENO2	437	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Enolase 2	1.0	0.999	23	1159	603	1159	402	391	366	201	203	199	402	391	366	2.37445366E10	2.54410199E10	2.70008975E10	4.7082522E9	5.3355699E9	5.4993787E9	
sp|P00927|THDH_YEAST	P00927	THDH_YEAST	ILV1	576	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Threonine dehydratase, mitochondrial	1.0	0.999	3	5	5	5	3	1	1	3	1	1	3	1	1	1.3406026E7	1.5031533E7	9245930.0	5386251.0	6408355.5	6455987.0	
sp|P00931|TRP_YEAST	P00931	TRP_YEAST	TRP5	707	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Tryptophan synthase	1.0	0.999	25	143	143	143	46	49	48	46	49	48	46	49	48	5.3526192E8	5.0872112E8	5.893872E8	4.9002356E7	4.777188E7	4.8528648E7	
sp|P00937|TRPG_YEAST	P00937	TRPG_YEAST	TRP3	484	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Multifunctional tryptophan biosynthesis protein	1.0	0.999	11	31	31	31	12	9	10	12	9	10	12	9	10	7.2164768E7	6.0040612E7	1.69205616E8	2.7144274E7	2.4263596E7	2.778433E7	
sp|P00942|TPIS_YEAST	P00942	TPIS_YEAST	TPI1	248	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Triosephosphate isomerase	1.0	0.999	10	307	307	307	102	101	104	102	101	104	102	101	104	4.7013033E9	4.9079839E9	4.8349629E9	7.578016E8	7.7645331E8	7.6841018E8	
sp|P00950|PMG1_YEAST	P00950	PMG1_YEAST	GPM1	247	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Phosphoglycerate mutase 1	1.0	0.999	15	380	380	380	131	127	122	131	127	122	131	127	122	8.8879329E9	8.5984461E9	9.4182308E9	1.81978381E9	1.86429901E9	1.9110976E9	
sp|P00958|SYMC_YEAST	P00958	SYMC_YEAST	MES1	751	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Methionine--tRNA ligase, cytoplasmic	1.0	0.999	23	94	94	94	32	32	30	32	32	30	32	32	30	2.5224392E8	2.4962632E8	2.54607792E8	2.8167132E7	2.7450322E7	2.4775278E7	
sp|P01094|IPA3_YEAST	P01094	IPA3_YEAST	PAI3	68	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protease A inhibitor 3	0.9674	0.999	1	4	4	4	1	1	2	1	1	2	1	1	2	1.0102237E7	9517007.0	1.0452289E7	1.0102237E7	9517007.0	1.0452289E7	
sp|P01098|STF1_YEAST	P01098	STF1_YEAST	STF1	86	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ATPase-stabilizing factor 9 kDa, mitochondrial	0.7742	0.9914	1	3	3	3	1	1	1	1	1	1	1	1	1	5412434.0	5099260.5	5297900.5	5412434.0	5099260.5	5297900.5	
sp|P01120|RAS2_YEAST	P01120	RAS2_YEAST	RAS2	322	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ras-like protein 2	1.0	0.999	13	50	40	50	15	16	19	12	13	15	15	16	19	1.96171856E8	1.85564368E8	1.98238656E8	2.5159512E7	2.5667808E7	2.647726E7	
sp|P01123|YPT1_YEAST	P01123	YPT1_YEAST	YPT1	206	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	GTP-binding protein YPT1	1.0	0.999	6	20	20	32	7	7	6	7	7	6	11	11	10	1.36029376E8	1.34969776E8	1.3128748E8	4.4698308E7	4.7118248E7	4.5988828E7	
sp|P02293|H2B1_YEAST	P02293	H2B1_YEAST	HTB1	131	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Histone H2B.1	1.0	0.999	3	67	0	67	21	24	22	0	0	0	21	24	22	6.870761E8	5.8497126E8	6.0556614E8	4.2795584E8	3.81217216E8	3.4360512E8	sp|P02294|H2B2_YEAST
sp|P02309|H4_YEAST	P02309	H4_YEAST	HHF1	103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Histone H4	1.0	0.999	6	90	90	90	27	30	33	27	30	33	27	30	33	7.0273389E8	5.7823078E8	6.8821088E8	2.23881024E8	2.01284624E8	2.2502368E8	
sp|P02400|RLA4_YEAST	P02400	RLA4_YEAST	RPP2B	110	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S acidic ribosomal protein P2-beta	1.0	0.999	5	90	90	90	27	31	32	27	31	32	27	31	32	8.7941811E8	9.7720518E8	9.4264896E8	2.95340704E8	3.67152704E8	3.9247776E8	
sp|P02406|RL28_YEAST	P02406	RL28_YEAST	RPL28	149	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L28	1.0	0.999	8	60	60	60	20	20	20	20	20	20	20	20	20	5.4320045E8	6.4966579E8	6.436327E8	2.94277568E8	3.04290304E8	3.28413728E8	
sp|P02407|RS17A_YEAST	P02407	RS17A_YEAST	RPS17A	136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S17-A	1.0	0.999	6	97	0	97	35	30	32	0	0	0	35	30	32	1.3577591E9	1.18569894E9	1.2995776E9	4.09019392E8	3.68818048E8	3.9501744E8	sp|P14127|RS17B_YEAST
sp|P02557|TBB_YEAST	P02557	TBB_YEAST	TUB2	457	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Tubulin beta chain	1.0	0.999	9	45	45	45	15	14	16	15	14	16	15	14	16	1.34426112E8	1.69387088E8	1.6648272E8	2.8623618E7	3.8270432E7	3.4314192E7	
sp|P02829|HSP82_YEAST	P02829	HSP82_YEAST	HSP82	709	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ATP-dependent molecular chaperone HSP82	1.0	0.999	32	46	46	515	14	16	16	14	16	16	171	160	184	3.29740352E8	2.96271136E8	2.90955648E8	6.0339108E7	5.9943756E7	5.7399704E7	
sp|P02992|EFTU_YEAST	P02992	EFTU_YEAST	TUF1	437	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Elongation factor Tu, mitochondrial	1.0	0.999	7	28	28	28	11	8	9	11	8	9	11	8	9	9.8281944E7	9.8462416E7	1.12875384E8	2.1844946E7	2.3738046E7	2.667191E7	
sp|P02994|EF1A_YEAST	P02994	EF1A_YEAST	TEF1	458	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Elongation factor 1-alpha	1.0	0.999	21	847	847	847	306	289	252	306	289	252	306	289	252	1.86172477E10	1.85076142E10	1.84679055E10	2.7244585E9	2.95431987E9	3.01819725E9	
sp|P03965|CARB_YEAST	P03965	CARB_YEAST	CPA2	1118	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Carbamoyl-phosphate synthase arginine-specific large chain	1.0	0.999	20	49	49	60	18	17	14	18	17	14	22	20	18	1.84539024E8	1.83562208E8	1.67938416E8	6.5872456E7	6.6647452E7	6.8226888E7	
sp|P04046|PUR1_YEAST	P04046	PUR1_YEAST	ADE4	510	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Amidophosphoribosyltransferase	1.0	0.999	13	47	47	47	17	16	14	17	16	14	17	16	14	1.90986448E8	1.6305976E8	1.72582592E8	2.9510586E7	2.4298908E7	2.470701E7	
sp|P04050|RPB1_YEAST	P04050	RPB1_YEAST	RPO21	1733	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	DNA-directed RNA polymerase II subunit RPB1	1.0	0.999	25	74	74	74	23	26	25	23	26	25	23	26	25	1.5950224E8	1.58472256E8	1.54108272E8	1.7188266E7	1.6384235E7	1.6648295E7	
sp|P04076|ARLY_YEAST	P04076	ARLY_YEAST	ARG4	463	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Argininosuccinate lyase	1.0	0.999	12	37	37	37	13	13	11	13	13	11	13	13	11	1.20593192E8	1.0361728E8	1.14282976E8	4.5217704E7	3.9433204E7	4.2021348E7	
sp|P04147|PABP_YEAST	P04147	PABP_YEAST	PAB1	577	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Polyadenylate-binding protein, cytoplasmic and nuclear	1.0	0.999	21	153	153	153	49	49	55	49	49	55	49	49	55	7.4804864E8	6.7880826E8	7.0379117E8	8.2472816E7	7.5935904E7	7.8437416E7	
sp|P04161|PUR3_YEAST	P04161	PUR3_YEAST	ADE8	214	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Phosphoribosylglycinamide formyltransferase	1.0	0.999	3	8	8	8	3	2	3	3	2	3	3	2	3	1.8915238E7	1.9542182E7	1.7483544E7	1.1030628E7	9551311.0	9127742.0	
sp|P04449|RL24A_YEAST	P04449	RL24A_YEAST	RPL24A	155	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L24-A	1.0	0.999	7	114	13	114	39	36	39	4	4	5	39	36	39	6.868752E8	7.5317427E8	5.9056467E8	1.73450432E8	1.6048088E8	1.45334272E8	
sp|P04456|RL25_YEAST	P04456	RL25_YEAST	RPL25	142	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L25	1.0	0.999	5	127	127	127	43	39	45	43	39	45	43	39	45	1.40374118E9	1.54732749E9	1.46865741E9	5.3979731E8	5.8820442E8	5.6561747E8	
sp|P04650|RL39_YEAST	P04650	RL39_YEAST	RPL39	51	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L39	1.0	0.999	2	40	40	40	13	12	15	13	12	15	13	12	15	3.27393664E8	2.49490816E8	2.44455552E8	2.38005024E8	1.98074544E8	1.965376E8	
sp|P04801|SYTC_YEAST	P04801	SYTC_YEAST	THS1	734	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Threonine--tRNA ligase, cytoplasmic	1.0	0.999	23	148	148	148	49	53	46	49	53	46	49	53	46	5.4037824E8	5.7500154E8	5.18372192E8	4.1967344E7	4.4310352E7	4.3067512E7	
sp|P04802|SYDC_YEAST	P04802	SYDC_YEAST	DPS1	557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Aspartate--tRNA ligase, cytoplasmic	1.0	0.999	26	196	196	196	64	68	64	64	68	64	64	68	64	9.4306656E8	8.6035219E8	8.8229914E8	1.32855584E8	1.25040424E8	1.26773616E8	
sp|P04806|HXKA_YEAST	P04806	HXKA_YEAST	HXK1	485	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Hexokinase-1	1.0	0.999	19	228	228	286	78	80	70	78	80	70	97	97	92	1.89580774E9	2.16084429E9	2.26042342E9	3.08253856E8	4.30791744E8	4.18405056E8	
